"No.","Ticker","Company","Country","Market Cap","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Earnings Date","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close"
1,"CGBS","Crown LNG Holdings Ltd .","United Kingdom",33.76,1.36,84.60%,0.00%,9.76%,-6.10%,0.02%,0.00,1.76%,-1.81%,-3.05%,0.00%,3.27%,3.28%,4.95%,4.38%,1.60%,-4.27%,-54.10%,-67.51%,-66.46%,-65.49%,-62.09%,-65.77%,1.75,60.13%,31.70%,-53.17%,-62.38%,-64.33%,,-6.39%,18.66%,321.93,306.67,4936320,3.43,4.07,4.08,3.55,3.81,11.08%,
2,"MLGO","MicroAlgo Inc","China",27.32,1.71,77.57%,0.00%,0.14%,-0.51%,134.57%,2.30,0.00%,0.82%,0.85%,0.84%,0.28%,1.13%,-1.91%,-3.49%,-2.97%,1.99%,-43.91%,-18.04%,28.21%,-53.55%,-84.85%,-60.64%,2.75,40.44%,45.33%,-57.71%,-31.47%,-73.02%,,1.99%,2.33%,8718.83,3.21,1400883,3.44,3.52,4.13,3.49,3.59,4.36%,
3,"ASNS","Actelis Networks Inc","USA",12.70,5.75,4.43%,0.00%,5.80%,-44.36%,7.28%,0.42,0.04%,0.48%,-0.94%,0.00%,-2.31%,-0.47%,-2.31%,15.30%,14.67%,14.67%,32.70%,40.67%,146.18%,77.31%,-39.19%,88.39%,0.35,11.39%,18.27%,26.01%,80.72%,88.82%,3/26/2024 4:30:00 PM,14.67%,-1.08%,4849.55,8.28,2008906,1.86,1.84,2.32,1.74,2.11,13.44%,
4,"PHUN","Phunware Inc","USA",62.63,7.91,1.45%,8.10%,20.52%,,13.27%,1.05,0.65%,1.04%,-0.26%,1.69%,-1.02%,0.00%,3.04%,3.17%,0.13%,-3.23%,35.89%,34.95%,7.29%,107.45%,-60.90%,90.24%,0.61,5.96%,7.59%,39.30%,25.87%,-5.72%,5/9/2024 4:30:00 PM,-4.88%,40.65%,364.42,196.50,3580460,5.83,8.20,8.90,7.03,7.80,33.79%,
5,"AMIX","Autonomix Medical Inc.","USA",19.17,8.19,56.40%,0.00%,0.18%,,0.39%,0.03,0.01%,2.51%,3.03%,3.53%,3.67%,3.90%,-2.86%,-33.77%,27.66%,27.66%,91.73%,-27.66%,-64.34%,,,-79.88%,0.24,10.71%,21.16%,9.56%,-42.99%,-63.83%,,72.79%,-4.48%,465.28,965.09,22451941,0.62,0.59,1.57,0.58,1.02,65.05%,
6,"MIRA","Mira Pharmaceuticals Inc","USA",12.93,9.75,34.05%,0.17%,4.20%,,0.16%,0.02,-0.06%,-0.13%,-0.14%,-0.38%,-1.50%,-6.97%,-11.23%,-5.97%,23.17%,39.10%,59.64%,18.18%,-2.89%,-11.21%,,-16.71%,0.11,11.12%,7.87%,34.54%,19.14%,-42.03%,05/29/2024,39.10%,6.70%,114.26,2711.97,15493310,0.59,0.63,1.25,0.57,0.87,48.42%,
7,"MWG","Multi Ways Holdings Ltd","Singapore",19.27,10.26,66.75%,0.00%,0.31%,,0.40%,0.04,1.28%,-0.54%,-0.54%,-0.53%,3.61%,7.74%,5.66%,2.44%,11.63%,17.00%,39.17%,65.34%,99.68%,131.91%,1.64%,178.15%,0.08,24.24%,19.13%,66.95%,74.57%,94.32%,,20.42%,-2.61%,839.99,31.42,1319809,0.53,0.52,0.65,0.51,0.62,17.28%,
8,"CDT","Conduit Pharmaceuticals Inc","USA",21.19,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.07,-0.69%,2.14%,2.32%,2.35%,2.35%,0.42%,2.39%,-1.03%,0.00%,-0.42%,-42.60%,-86.65%,-90.97%,-93.59%,-97.26%,-93.69%,0.22,34.09%,31.28%,-72.34%,-86.77%,-90.29%,,-0.42%,9.79%,259.24,25.12,325550,0.26,0.29,0.30,0.28,0.29,9.33%,
9,"DJT","Trump Media & Technology Group Corp.","USA",9105.72,47.29,75.10%,0.00%,1.19%,3.55%,11.04%,5.22,-0.10%,0.52%,-0.13%,1.57%,1.26%,1.83%,3.70%,3.74%,6.46%,1.03%,58.11%,17.13%,47.10%,183.33%,267.36%,173.94%,4.77,6.09%,10.69%,47.31%,14.94%,50.25%,5/20/2024 8:30:00 AM,-3.85%,61.41%,6832.51,45.88,15675262,30.89,49.86,54.47,37.40,47.94,55.20%,
10,"RUM","Rumble Inc","USA",1881.77,69.94,75.21%,-1.26%,9.12%,160.55%,19.74%,13.80,-0.73%,-0.29%,0.01%,0.62%,0.77%,-0.88%,2.94%,3.42%,1.07%,0.92%,16.83%,14.82%,4.89%,79.81%,-24.02%,48.57%,0.33,3.98%,4.13%,18.90%,6.80%,13.21%,5/14/2024 4:30:00 PM,-1.47%,13.97%,1138.40,15.21,865798,5.94,6.77,7.29,6.37,6.67,12.30%,
11,"SMR","NuScale Power Corporation","USA",1447.20,77.81,12.11%,-1.57%,32.33%,4.26%,19.19%,14.93,-0.03%,0.03%,0.22%,0.52%,0.81%,1.21%,-0.28%,1.27%,2.74%,2.80%,19.40%,93.43%,210.16%,598.51%,107.69%,396.81%,1.28,11.69%,11.76%,45.67%,85.14%,218.67%,8/8/2024 4:30:00 PM,2.74%,3.72%,5219.98,3.09,807370,15.34,15.91,16.49,15.40,16.35,6.55%,
12,"OPTT","Ocean Power Technologies","USA",35.73,85.17,5.84%,0.00%,3.92%,-13.16%,11.17%,9.51,-0.48%,-0.50%,-0.90%,-0.90%,0.23%,-0.90%,-2.20%,-5.28%,7.28%,9.12%,-1.27%,157.83%,66.04%,28.12%,-35.78%,25.00%,0.06,19.73%,21.78%,54.33%,86.22%,40.72%,7/25/2024 4:30:00 PM,9.12%,-1.25%,29053.24,6.02,8739153,0.37,0.36,0.44,0.36,0.40,7.75%,
13,"POWW","AMMO Inc","USA",213.32,89.26,25.11%,-1.46%,27.59%,-8.60%,3.19%,2.85,0.55%,-0.01%,-0.01%,0.03%,-0.01%,-0.01%,0.01%,1.14%,0.56%,1.70%,12.57%,-28.12%,-27.53%,-14.77%,-19.01%,-14.77%,0.11,3.64%,6.72%,3.64%,-18.10%,-22.18%,6/13/2024 4:30:00 PM,-1.11%,9.04%,703.25,3.62,127301,1.66,1.81,1.86,1.74,1.79,7.83%,
14,"HUMA","Humacyte Inc","USA",928.82,91.98,22.76%,-10.97%,19.50%,-9.29%,8.97%,8.25,0.91%,0.00%,0.52%,0.00%,0.13%,-0.64%,0.78%,3.31%,7.73%,7.44%,37.57%,6.27%,170.83%,188.89%,144.51%,174.65%,0.65,9.85%,9.66%,37.54%,27.41%,105.68%,5/10/2024 8:30:00 AM,1.30%,10.16%,2897.13,2.28,330279,6.99,7.70,7.98,7.16,7.80,11.59%,
15,"BIRD","Allbirds Inc","USA",106.91,102.03,35.20%,-0.06%,23.85%,3.14%,9.82%,10.01,0.00%,3.66%,3.66%,3.66%,0.00%,0.00%,-0.13%,-2.53%,1.34%,10.42%,33.37%,20.28%,9.01%,-33.43%,-47.36%,-44.57%,0.07,17.93%,10.30%,23.59%,14.74%,-18.56%,5/8/2024 4:30:00 PM,10.42%,2.52%,1353.32,2.20,148917,0.60,0.61,0.71,0.61,0.68,13.20%,
16,"RVMD","Revolution Medicines Inc","USA",8035.01,137.26,16.81%,-0.47%,82.63%,7.96%,11.72%,16.09,-0.02%,-0.02%,0.62%,0.62%,-0.55%,2.10%,1.99%,-0.61%,8.37%,8.37%,23.04%,21.78%,35.02%,72.08%,83.57%,69.80%,2.92,5.74%,3.81%,23.74%,24.47%,58.23%,5/8/2024 4:30:00 PM,8.37%,-0.44%,1351.15,9.05,611684,45.14,44.94,55.75,37.53,48.70,7.89%,
17,"CEI","Camber Energy Inc","USA",22.85,171.69,2.34%,0.00%,3.02%,10.09%,1.92%,3.29,0.00%,0.00%,1.56%,5.69%,5.78%,6.04%,6.38%,5.86%,5.18%,7.44%,8.97%,-12.99%,-41.65%,-30.67%,-84.78%,-43.08%,0.01,6.88%,8.47%,6.68%,-12.71%,-39.71%,,7.44%,-1.71%,8750.49,2.59,1132145,0.12,0.12,0.13,0.12,0.13,5.61%,
18,"GNS","Genius Group Ltd","Singapore",52.40,176.40,5.23%,0.00%,1.11%,,1.65%,2.91,0.11%,-0.14%,-0.18%,-0.46%,1.26%,0.54%,-2.66%,-2.60%,-6.14%,-6.14%,10.83%,0.18%,-37.21%,-45.13%,-60.44%,-57.54%,0.03,7.15%,7.97%,8.84%,-9.26%,-42.84%,5/16/2024 8:30:00 AM,9.66%,3.34%,3182.07,29.41,4679230,0.25,0.26,0.33,0.25,0.28,13.33%,
19,"SOUN","SoundHound AI Inc","USA",2057.31,281.85,14.05%,-2.38%,20.35%,6.47%,25.39%,71.57,0.00%,-0.16%,-0.32%,-0.16%,0.00%,0.00%,0.32%,-0.32%,1.30%,3.48%,48.81%,34.41%,42.69%,253.11%,67.11%,194.81%,0.41,14.76%,7.27%,44.96%,33.41%,76.89%,5/9/2024 4:30:00 PM,4.17%,-3.23%,26333.42,2.25,2956307,6.20,6.00,6.40,5.92,6.25,0.81%,
20,"LILM","Lilium N.V","Germany",593.46,320.79,45.95%,0.00%,1.96%,-1.06%,7.22%,23.17,0.00%,0.01%,0.01%,0.00%,-0.98%,-0.99%,0.00%,-2.91%,-2.91%,-2.91%,18.12%,18.57%,12.31%,14.60%,-41.18%,-15.25%,0.06,7.42%,6.06%,21.56%,6.64%,8.72%,6/11/2024 8:30:00 AM,-2.91%,5.63%,3639.55,2.29,416950,0.98,1.03,1.05,1.00,1.00,2.55%,
21,"JOBY","Joby Aviation Inc","USA",4874.07,378.19,46.62%,-0.34%,30.89%,0.23%,19.15%,72.41,0.00%,0.15%,0.00%,0.00%,0.15%,-0.15%,1.18%,1.78%,1.93%,2.38%,32.05%,33.85%,48.92%,14.86%,-34.85%,3.46%,0.30,7.10%,5.55%,33.06%,34.85%,22.68%,5/7/2024 4:30:00 PM,2.38%,1.66%,5574.08,2.07,577959,6.61,6.72,6.89,6.68,6.88,4.08%,
22,"NAK","Northern Dynasty Minerals Ltd.","Canada",199.01,526.75,2.04%,0.00%,13.83%,0.07%,1.25%,6.60,0.03%,-1.80%,-1.83%,-1.96%,-2.61%,-1.28%,0.00%,1.68%,5.29%,5.29%,16.24%,30.55%,5.74%,31.24%,45.19%,14.48%,0.02,6.56%,5.52%,22.06%,22.92%,21.46%,5/17/2024 8:30:00 AM,9.99%,-1.09%,999.23,6.89,344269,0.34,0.34,0.38,0.34,0.37,8.79%,
